variable,type,normalization,min,max,mean,std
yld,numerical,min-max,0.0,136.7568817138672,52.884617762953916,24.47549261177607
aa_n,numerical,min-max,0.0,150.0,69.47979807043257,38.05201387898181
aspect_rad,numerical,z-score,0.0,6.28,2.6289229760912054,0.9851299495642493
slope,numerical,z-score,0.0,90.0,2.7635504885993485,1.6140528328171815
elev,numerical,z-score,-85.61,4414.22,1181.6905211726385,316.6879513377951
tpi,numerical,z-score,-0.04638672,1.0219726999999998,0.4847745360837134,0.16178096175292359
prec_cy_g,numerical,min-max,0.0,61449.16,128.31841174267103,60.78432475634941
vh_cy_f,numerical,z-score,-47.226313335402295,0.0,-26.28810045003812,7.896617736853603
vv_cy_f,numerical,z-score,-23.716801921275806,0.0,-13.493887568802986,4.336604777690156
