id,id_field,variable,type,normalization,min,max,mean,std
8412,121,yld,numerical,min-max,0.0,136.7568817138672,52.884617762953916,24.47549261177607
8414,121,aa_n,numerical,min-max,0.0,150.0,69.47979807043257,38.05201387898181
8416,121,aspect_rad,numerical,z-score,0.0,6.28,2.6289229760912054,0.9851299495642493
8419,121,slope,numerical,z-score,0.0,90.0,2.7635504885993485,1.6140528328171815
8421,121,tpi,numerical,z-score,-0.04638672,1.0219726999999998,0.4847745360837134,0.16178096175292359
8426,121,prec_cy_g,numerical,min-max,0.0,61449.16,128.31841174267103,60.78432475634941
8429,121,vh_cy_f,numerical,z-score,-47.226313335402295,0.0,-26.28810045003812,7.896617736853603
8430,121,vv_cy_f,numerical,z-score,-23.716801921275806,0.0,-13.493887568802986,4.336604777690156
